No,sentence,info__snippets,info__target,info_sentiment_score,info_aspects,preprocessed_sentence,numerical_info,encoded_values,sentiment_scores_for_numerical_encoded_values,trend,embedded_aspect,predicted_sentiment_probability_after_attention_mechanism
70.0,Shire to buy NPS for $5.2 billion to boost rare disease drugs,['Shire to buy NPS for $5.2 billion to boost rare disease drugs'],Shire,0.235,['Corporate/M&A/M&A'],shire buy nps $ 5.2 billion boost rare disease drug,"[{'value': 'billion', 'type': 'cardinal', 'aspect': 'drug', 'dependency_type': 'nummod'}]","tensor([[-36933544.,  61553836., -20764644.]], grad_fn=<CatBackward0>)",[[-36933544.  61553836. -20764644.]],increase,boost Shire,[0.32044873 0.2632143  0.41633698]
76.0,AstraZeneca's MedImmune Inks Licensing Deal With Omnis Pharmaceuticals,['Licensing Deal With Omnis Pharmaceuticals'],Omnis Pharmaceuticals,0.295,['Corporate/Sales/Deal'],astrazeneca medimmune ink licensing deal omnis pharmaceutical,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Omnis Pharmaceuticals,[0.34198275 0.34482956 0.31318772]
78.0,FDA approves Shire's Vyvanse for binge-eating disorder,['FDA approves Shire's Vyvanse'],Shire,0.291,['Corporate/Regulatory'],fda approve shire vyvanse binge eat disorder,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Shire,[0.29544315 0.3847923  0.31976455]
82.0,Companies Thetrainline.com announces arrival of London IPO,['announces arrival of London IPO'],Thetrainline.com,0.245,['Stock/IPO'],company thetrainline.com announce arrival london ipo,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Thetrainline.com,[0.37138855 0.3601586  0.26845285]
87.0,Breakingviews: IAG can pay more for Aer Lingus,['IAG can pay more for Aer Lingus'],IAG,0.12,['Corporate/M&A/M&A'],breakingviews iag pay aer lingus,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,IAG,[0.27877963 0.40235564 0.31886473]
88.0,Tesco share price jumps as Q3 sales top estimates,['share price jumps'],Tesco,0.719,['Stock/Price Action'],tesco share price jump q3 sale estimate,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Tesco,[0.35899618 0.34108293 0.29992083]
90.0,CRH's concrete bid for Holcim Lafarge assets,['concrete bid for Holcim Lafarge assets'],Holcim Lafarge,0.282,['Stock/Signal/Buy Signal'],crh concrete bid holcim lafarge asset,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Holcim Lafarge,[0.41262805 0.26033843 0.32703355]
94.0,Persimmon share price climbs on 23% rise in full-year revenue,['share price climbs on 23% rise'],Persimmon,0.975,['Stock/Price Action'],persimmon share price climb 23 rise year revenue,"[{'value': '23', 'type': 'cardinal', 'aspect': 'revenue', 'dependency_type': 'nummod'}]","tensor([[-0.7676,  1.2737, -0.5223]], grad_fn=<CatBackward0>)",[[-0.7676201  1.2736963 -0.52232  ]],increase,climb Persimmon,[0.36410248 0.3134108  0.32248673]
96.0,Ruling sets lower limit on potential fine for BP,['lower limit on potential fine for BP'],BP,-0.261,['Corporate/Legal'],ruling set low limit potential fine bp,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],decrease,low BP,[0.3456813 0.3127187 0.3416   ]
98.0,Reed Elsevier share price slides on underwhelming full-year results,['share price slides'],Reed Elsevier,-0.526,['Stock/Price Action'],reed elsevi share price slide underwhelme year result,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Reed Elsevier,[0.37875882 0.24051033 0.38073078]
99.0,UPDATE 1-Meggitt reiterates annual outlook after tough 2014,['reiterates annual outlook after tough 2014'],Meggitt,0.021,['Stock/Fundamentals'],update 1 meggitt reiterate annual outlook tough 2014,"[{'value': '1', 'type': 'cardinal', 'aspect': 'meggitt', 'dependency_type': 'nummod'}, {'value': '2014', 'type': 'cardinal', 'aspect': 'update', 'dependency_type': None}]","tensor([[ 5.8432e-02, -8.5837e-02, -8.6877e-02, -7.4277e+01,  1.2383e+02,
         -4.1857e+01]], grad_fn=<CatBackward0>)","[[ 5.84323183e-02 -8.58367756e-02 -8.68765116e-02 -7.42767944e+01
   1.23826485e+02 -4.18569908e+01]]",decrease,tough Meggitt,[0.32137483 0.3565273  0.3220979 ]
100.0,Slump in Weir leads FTSE down from record high,['down from record high'],Weir,-0.827,['Market/Volatility/Volatility'],slump weir lead ftse record high,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],decrease,slump Weir,[0.2998883  0.3464004  0.35371134]
105.0,Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,['Lifts Dividend Again As Acquisitions Continue To Boost Profit'],Bunzl,0.401,['Corporate/Dividend Policy/Dividend/Dividend going up'],bunzl lift dividend acquisition continue boost profit,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,boost Bunzl,[0.33889648 0.31872463 0.34237888]
107.0,REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,['to pay first dividend since rescue'],Lloyds,0.522,['Corporate/Dividend Policy/Dividend'],refile update 4 britain lloyds pay first dividend rescue,"[{'value': '4', 'type': 'cardinal', 'aspect': 'lloyds', 'dependency_type': 'nummod'}, {'value': 'first', 'type': 'cardinal', 'aspect': 'dividend', 'dependency_type': 'amod'}]","tensor([[-0.0611,  0.0966, -0.1468,  0.0923, -0.1185, -0.1205]],
       grad_fn=<CatBackward0>)",[[-0.06113416  0.09656806 -0.14681245  0.09229714 -0.11852994 -0.12051044]],,Lloyds,[0.42284018 0.29532975 0.28183004]
115.0,GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,['set to complete $20 billion Novartis asset swap next week'],Novartis,0.189,['Corporate/M&A'],glaxosmithkline set complete $ 20 billion novartis asset swap week,"[{'value': '20', 'type': 'cardinal', 'aspect': 'billion', 'dependency_type': None}, {'value': 'billion', 'type': 'cardinal', 'aspect': 'week', 'dependency_type': 'nummod'}]","tensor([[-6.5775e-01,  1.0891e+00, -4.6031e-01, -3.6934e+07,  6.1554e+07,
         -2.0765e+07]], grad_fn=<CatBackward0>)","[[-6.5774810e-01  1.0890675e+00 -4.6030775e-01 -3.6933544e+07
   6.1553836e+07 -2.0764644e+07]]",,Novartis,[0.3258729  0.37091276 0.3032144 ]
116.0,Meggitt share price tumbles as profit falls in 'challenging year',['tumbles as profit falls in 'challenging year''],Meggitt,-0.854,['Stock/Price Action'],meggitt share price tumble profit fall challenging year,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],decrease,fall Meggitt,[0.27764314 0.39710456 0.3252523 ]
123.0,Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,['shares have seen recent volatility'],Astrazeneca,-0.12,['Market/Volatility'],analyst view astrazeneca share see recent volatility 2015,"[{'value': '2015', 'type': 'cardinal', 'aspect': 'see', 'dependency_type': None}]","tensor([[-74.3137, 123.8880, -41.8777]], grad_fn=<CatBackward0>)",[[-74.31373  123.88804  -41.877747]],,Astrazeneca,[0.38962713 0.31755242 0.29282048]
127.0,ARM Royalties Accelerate as Smartphone Market Regains Strength,['Smartphone Market Regains Strength'],ARM,0.571,['Market/Market'],arm royalty accelerate smartphone market regain strength,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,ARM,[0.3794237  0.27125913 0.34931716]
128.0,ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,['Farms CEO Connolly to Top Pos'],ConAgra,0.101,['Corporate/Appointment'],conagra names hillshire farms ceo connolly post,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,ConAgra,[0.41713843 0.31517565 0.26768592]
129.0,BG Group appoints new CEO one month early,['appoints new CEO'],BG Group,0.069,['Corporate/Appointment'],bg group appoint new ceo one month early,"[{'value': 'one', 'type': 'cardinal', 'aspect': 'month', 'dependency_type': 'nummod'}]","tensor([[ 0.0584, -0.0858, -0.0869]], grad_fn=<CatBackward0>)",[[ 0.05843232 -0.08583678 -0.08687651]],,BG Group,[0.2865213  0.38288277 0.33059588]
132.0,"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin","['Cuts 2015 Budget, Plans To Divest From Lonmin']",Lonmin,-0.314,['Corporate/Strategy/Divestment'],glencore cut 2015 budget plan divest lonmin,"[{'value': '2015', 'type': 'cardinal', 'aspect': 'lonmin', 'dependency_type': 'nummod'}]","tensor([[-74.3137, 123.8880, -41.8777]], grad_fn=<CatBackward0>)",[[-74.31373  123.88804  -41.877747]],decrease,cut Lonmin,[0.33731148 0.3473619  0.31532657]
135.0,U.S. Debt Lures Schroders as ECB Depresses Rates,['as ECB Depresses Rates'],Schroders,0.048,['Economy/Central Banks'],u.s debt lure schroder ecb depress rate,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Schroders,[0.30700624 0.3224612  0.37053254]
138.0,Tullow Oil Suspends Dividend Amid Oil Price Fall,['Suspends Dividend'],Tullow Oil,-0.498,['Corporate/Dividend Policy'],tullow oil suspend dividend amid oil price fall,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],decrease,fall Tullow Oil,[0.3259086  0.35504723 0.3190441 ]
142.0,"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",['fail to find reserves'],Royal Dutch Shell,-0.402,['Corporate/Risks'],oil major like royal dutch shell chevron bp fail find reserve counter,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Royal Dutch Shell,[0.3493275  0.33194357 0.31872898]
153.0,Standard Chartered lags on capital worries,['lags on capital worries'],Standard Chartered,-0.358,['Corporate/Risks'],standard charter lag capital worry,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Standard Chartered,[0.38185218 0.2685325  0.34961528]
156.0,Standard Life share price: Insurer buys advice firm Pearson Jones,['Insurer buys advice firm Pearson Jones'],Standard Life,0.364,['Corporate/Strategy/Corporate Planning'],standard life share price insurer buy advice firm pearson jones,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Standard Life,[0.37564468 0.29391035 0.33044496]
158.0,Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,['closes in on new chairman'],Dixons Carphone,0.129,['Corporate/Appointment'],tesco close new chairman dixon carphone john allan frame,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Dixons Carphone,[0.28212345 0.22135998 0.4965166 ]
,,['new chairman with Dixons Carphone's'],Tesco,0.295,['Corporate/Appointment/Staff Hiring'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Tesco,[0.25489303 0.41058928 0.33451772]
159.0,MillerCoors Delivers 2.9% Underlying Net Income Growth for 2014,['Delivers 2.9% Underlying Net Income Growth'],MillerCoors,0.495,['Stock/Fundamentals'],millercoor deliver 2.9 underlie net income growth 2014,"[{'value': '2.9', 'type': 'cardinal', 'aspect': 'growth', 'dependency_type': 'nummod'}, {'value': '2014', 'type': 'cardinal', 'aspect': 'deliver', 'dependency_type': None}]","tensor([[-1.9776e-02,  2.8083e-02, -1.2581e-01, -7.4277e+01,  1.2383e+02,
         -4.1857e+01]], grad_fn=<CatBackward0>)","[[-1.97756067e-02  2.80828699e-02 -1.25813127e-01 -7.42767944e+01
   1.23826485e+02 -4.18569908e+01]]",,MillerCoors,[0.33487764 0.28167927 0.38344306]
165.0,RBS will reportedly appoint Howard Davies as its next chairman,['reportedly appoint Howard Davies as its next chairman'],RBS,0.089,['Corporate/Appointment'],rbs reportedly appoint howard davy chairman,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,RBS,[0.31323725 0.35619798 0.33056474]
168.0,HSBC Hit by Fresh Details of Tax Evasion Claims,['Tax Evasion Claims'],HSBC,-0.594,['Corporate/Legal'],hsbc hit fresh detail tax evasion claim,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,HSBC,[0.48505875 0.2954893  0.21945195]
171.0,Relief for Lewis as Tesco sees sales grow for first time in a year,['sees sales grow'],Tesco,0.42,['Corporate/Sales'],relief lewis tesco see sale grow first time year,"[{'value': 'first', 'type': 'date', 'aspect': 'time', 'dependency_type': 'amod'}]","tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Tesco,[0.373406   0.30772787 0.31886613]
176.0,Morrisons finance chief to fill gap as CEO leaves early,['fill gap as CEO leaves'],Morrisons,-0.114,['Corporate/Appointment'],morrison finance chief fill gap ceo leave early,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Morrisons,[0.33907303 0.27119464 0.38973233]
178.0,"UPDATE: Persimmon Profit Up Strongly, Outlook Positive","['Profit Up Strongly, Outlook Positive']",Persimmon,0.937,['Stock/Fundamentals'],update persimmon profit strongly outlook positive,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Persimmon,[0.31460106 0.32700375 0.35839516]
182.0,TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan,['CRH backs Lafarge Holcim asset buy'],Lafarge Holcim,0.365,['Corporate/Strategy/Share Buyback'],trlpc crh back lafarge holcim asset buy 6.5 bln euro bridge loan,"[{'value': '6.5', 'type': 'cardinal', 'aspect': 'loan', 'dependency_type': 'nummod'}]","tensor([[-0.1551,  0.2522, -0.1945]], grad_fn=<CatBackward0>)",[[-0.15513088  0.25221616 -0.19453818]],,Lafarge Holcim,[0.4438975  0.2510251  0.30507737]
183.0,Tesco shareholders back ITV head for chairman,[' shareholders back ITV head for chairman'],Tesco,0.139,['Corporate/Appointment/Executive Appointment'],tesco shareholder itv head chairman,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Tesco,[0.38320503 0.31266087 0.30413416]
184.0,"Buffett's Berkshire builds Deere stake, dumps Exxon",['builds Deere stake '],Deere,0.316,['Stock/Signal/Buy Signal'],buffett berkshire build deere stake dump exxon,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,build Deere,[0.30054313 0.36760044 0.3318565 ]
,,"['builds Deere stake, ']",Exxon,-0.548,['Stock/Signal/Buy Signal'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Exxon,[0.3958868  0.2627167  0.34139648]
185.0,Aviva Fined $27 Million by U.K. Regulator Over Fee Failings,['Fined $27 Million by U.K. Regulator Over Fee Failings'],Aviva,-0.675,['Corporate/Regulatory'],aviva fine $ 27 million u.k regulator fee failing,"[{'value': '27', 'type': 'cardinal', 'aspect': 'million', 'dependency_type': None}, {'value': 'million', 'type': 'cardinal', 'aspect': 'fee', 'dependency_type': 'nummod'}]","tensor([[-9.1412e-01,  1.5199e+00, -6.0500e-01, -3.6933e+04,  6.1554e+04,
         -2.0765e+04]], grad_fn=<CatBackward0>)","[[-9.1411602e-01  1.5198683e+00 -6.0500276e-01 -3.6933438e+04
   6.1553691e+04 -2.0764678e+04]]",,Aviva,[0.26539218 0.33929792 0.39530987]
186.0,AstraZeneca's patent on asthma drug invalidated by US court,['invalidated by US court'],AstraZeneca,-0.656,['Corporate/Legal'],astrazeneca patent asthma drug invalidate court,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,AstraZeneca,[0.36053142 0.30671984 0.3327487 ]
187.0,Rolls-Royce to Ensure Compliance After Petrobras Bribery Report,['to Ensure Compliance After Petrobras Bribery Report'],Rolls-Royce,-0.075,['Corporate/Legal/Court Ruling'],roll royce ensure compliance petrobras bribery report,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Rolls-Royce,[0.50779706 0.25186837 0.2403346 ]
188.0,Whitbread share price climbs on Q4 sales growth,['share price climbs'],Whitbread,0.513,['Stock/Price Action'],whitbread share price climb q4 sale growth,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,climb Whitbread,[0.3062521  0.3743896  0.31935838]
190.0,Warren Buffett defends Berkshire Hathaway's conglomerate structure,['defends Berkshire Hathaway's conglomerate structure'],Berkshire Hathaway,0.144,['Corporate/Company Communication'],warren buffett defend berkshire hathaway conglomerate structure,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Berkshire Hathaway,[0.32906294 0.4118304  0.25910664]
199.0,G4S sees profits rise but UK contract problems remain,['contract problems remain'],G4S,0.252,['Corporate/Risks'],g4s see profit rise uk contract problem remain,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,rise G4S,[0.2650933  0.4159744  0.31893227]
206.0,Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover,['lifts profits 38%'],Friends Life,0.387,['Corporate/Financial/Financial Results/Earnings'],friend life lift profit 38 hike divi ahead propose aviva takeover,"[{'value': '38', 'type': 'cardinal', 'aspect': 'divi', 'dependency_type': 'nummod'}]","tensor([[-1.3170,  2.1968, -0.8324]], grad_fn=<CatBackward0>)",[[-1.3169795  2.1968408 -0.832381 ]],,Friends Life,[0.34012958 0.29429656 0.36557388]
212.0,Auto Trader share price surges as company floats on LSE,['share price surges'],Auto Trader,0.655,['Stock/Price Action'],auto trader share price surge company float lse,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,surge Auto Trader,[0.27276215 0.4117722  0.3154657 ]
214.0,New Credit Suisse boss faces stiff challenge in Asia,['boss faces stiff challenge'],Credit Suisse,-0.181,['Corporate/Risks'],new credit suisse boss face stiff challenge asia,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Credit Suisse,[0.34221438 0.36910462 0.28868106]
218.0,"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",['Traffic Up'],Aer Lingus,0.284,['Corporate/Sales'],update easyjet passenger number aer lingus traffic february,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Aer Lingus,[0.28074047 0.32004443 0.3992151 ]
,,"['Passenger Numbers, Aer Lingus Traffic Up']",EasyJet,0.315,['Corporate/Sales'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,EasyJet,[0.37687853 0.3382355  0.284886  ]
219.0,Is It Worth Investing In Tesco PLC And Prudential plc Now?,['Investing In Tesco PLC And Prudential plc Now?'],Tesco PLC,0.161,['Corporate/Strategy/Investment'],worth invest tesco plc prudential plc,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Tesco PLC,[0.3198472  0.29286176 0.38729104]
225.0,UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,['FTSE 100 Gainers'],Friends Life,0.516,['Market/Market/Market Trend'],uk winner loser aviva friend life lead ftse 100 gainer,"[{'value': '100', 'type': 'cardinal', 'aspect': 'gainer', 'dependency_type': 'nummod'}]","tensor([[-3.5877,  6.0125, -2.1140]], grad_fn=<CatBackward0>)",[[-3.587666   6.012506  -2.1139667]],,Friends Life,[0.25180364 0.3244845  0.42371184]
234.0,Sainsbury's says to outperform rivals in tough market,['in tough market'],Sainsbury,0.536,['Market/Market'],sainsbury say outperform rival tough market,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],decrease,tough Sainsbury,[0.32180005 0.29993454 0.37826544]
239.0,CompaniesKingfisher bid for Mr Bricolage runs into trouble,['bid for Mr Bricolage runs into trouble'],Mr Bricolage,-0.253,['Corporate/M&A/Proposed Merger'],companieskingfisher bid mr bricolage run trouble,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Mr Bricolage,[0.2373001  0.37323922 0.38946065]
240.0,UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,['shares leap in UK's biggest private equity-backed listing'],Auto Trader,0.641,['Stock/IPO'],update 3 auto trader share leap uk big private equity back listing,"[{'value': '3', 'type': 'cardinal', 'aspect': 'share', 'dependency_type': 'nummod'}]","tensor([[-0.0235,  0.0343, -0.1277]], grad_fn=<CatBackward0>)",[[-0.02353548  0.03430881 -0.12772216]],,Auto Trader,[0.40111405 0.28242916 0.31645682]
241.0,"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",['drive markets higher'],Ashtead,0.514,['Market/Market'],london open taylor wimpey ashtead drive market higher barclay fall,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],decrease,fall Ashtead,[0.29168093 0.33956963 0.36874944]
,,['Taylor Wimpey and Ashtead drive markets higher'],Barclays,-0.657,['Market/Market/Market Trend'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Barclays,[0.4119226  0.2668393  0.32123804]
